language,speaker_id,clip_index,path,sample_rate,duration_seconds,sources
english,103,1,english/103/english_103_01.wav,16000,10.0,LibriSpeech/train-clean-100/103/1240/103-1240-0000.flac
english,103,2,english/103/english_103_02.wav,16000,10.0,LibriSpeech/train-clean-100/103/1240/103-1240-0001.flac
english,103,3,english/103/english_103_03.wav,16000,10.0,LibriSpeech/train-clean-100/103/1240/103-1240-0002.flac
english,1034,1,english/1034/english_1034_01.wav,16000,10.0,LibriSpeech/train-clean-100/1034/121119/1034-121119-0000.flac | LibriSpeech/train-clean-100/1034/121119/1034-121119-0001.flac
english,1034,2,english/1034/english_1034_02.wav,16000,10.0,LibriSpeech/train-clean-100/1034/121119/1034-121119-0002.flac
english,1034,3,english/1034/english_1034_03.wav,16000,10.0,LibriSpeech/train-clean-100/1034/121119/1034-121119-0003.flac
english,1040,1,english/1040/english_1040_01.wav,16000,10.0,LibriSpeech/train-clean-100/1040/133433/1040-133433-0000.flac
english,1040,2,english/1040/english_1040_02.wav,16000,10.0,LibriSpeech/train-clean-100/1040/133433/1040-133433-0001.flac
english,1040,3,english/1040/english_1040_03.wav,16000,10.0,LibriSpeech/train-clean-100/1040/133433/1040-133433-0002.flac
english,1069,1,english/1069/english_1069_01.wav,16000,10.0,LibriSpeech/train-clean-100/1069/133699/1069-133699-0000.flac
english,1069,2,english/1069/english_1069_02.wav,16000,10.0,LibriSpeech/train-clean-100/1069/133699/1069-133699-0001.flac
english,1069,3,english/1069/english_1069_03.wav,16000,10.0,LibriSpeech/train-clean-100/1069/133699/1069-133699-0002.flac
english,1081,1,english/1081/english_1081_01.wav,16000,10.0,LibriSpeech/train-clean-100/1081/125237/1081-125237-0000.flac
english,1081,2,english/1081/english_1081_02.wav,16000,10.0,LibriSpeech/train-clean-100/1081/125237/1081-125237-0001.flac | LibriSpeech/train-clean-100/1081/125237/1081-125237-0002.flac
english,1081,3,english/1081/english_1081_03.wav,16000,10.0,LibriSpeech/train-clean-100/1081/125237/1081-125237-0003.flac | LibriSpeech/train-clean-100/1081/125237/1081-125237-0004.flac
english,1088,1,english/1088/english_1088_01.wav,16000,10.0,LibriSpeech/train-clean-100/1088/129236/1088-129236-0000.flac | LibriSpeech/train-clean-100/1088/129236/1088-129236-0001.flac
english,1088,2,english/1088/english_1088_02.wav,16000,10.0,LibriSpeech/train-clean-100/1088/129236/1088-129236-0002.flac
english,1088,3,english/1088/english_1088_03.wav,16000,10.0,LibriSpeech/train-clean-100/1088/129236/1088-129236-0003.flac
english,1098,1,english/1098/english_1098_01.wav,16000,10.0,LibriSpeech/train-clean-100/1098/133695/1098-133695-0000.flac
english,1098,2,english/1098/english_1098_02.wav,16000,10.0,LibriSpeech/train-clean-100/1098/133695/1098-133695-0001.flac
english,1098,3,english/1098/english_1098_03.wav,16000,10.0,LibriSpeech/train-clean-100/1098/133695/1098-133695-0002.flac
english,1116,1,english/1116/english_1116_01.wav,16000,10.0,LibriSpeech/train-clean-100/1116/132847/1116-132847-0000.flac
english,1116,2,english/1116/english_1116_02.wav,16000,10.0,LibriSpeech/train-clean-100/1116/132847/1116-132847-0001.flac | LibriSpeech/train-clean-100/1116/132847/1116-132847-0002.flac
english,1116,3,english/1116/english_1116_03.wav,16000,10.0,LibriSpeech/train-clean-100/1116/132847/1116-132847-0003.flac
english,118,1,english/118/english_118_01.wav,16000,10.0,LibriSpeech/train-clean-100/118/121721/118-121721-0000.flac | LibriSpeech/train-clean-100/118/121721/118-121721-0001.flac
english,118,2,english/118/english_118_02.wav,16000,10.0,LibriSpeech/train-clean-100/118/121721/118-121721-0002.flac
english,118,3,english/118/english_118_03.wav,16000,10.0,LibriSpeech/train-clean-100/118/121721/118-121721-0003.flac
english,1183,1,english/1183/english_1183_01.wav,16000,10.0,LibriSpeech/train-clean-100/1183/124566/1183-124566-0000.flac | LibriSpeech/train-clean-100/1183/124566/1183-124566-0001.flac
english,1183,2,english/1183/english_1183_02.wav,16000,10.0,LibriSpeech/train-clean-100/1183/124566/1183-124566-0002.flac | LibriSpeech/train-clean-100/1183/124566/1183-124566-0003.flac | LibriSpeech/train-clean-100/1183/124566/1183-124566-0004.flac
english,1183,3,english/1183/english_1183_03.wav,16000,10.0,LibriSpeech/train-clean-100/1183/124566/1183-124566-0005.flac | LibriSpeech/train-clean-100/1183/128659/1183-128659-0000.flac | LibriSpeech/train-clean-100/1183/128659/1183-128659-0001.flac
english,1235,1,english/1235/english_1235_01.wav,16000,10.0,LibriSpeech/train-clean-100/1235/135883/1235-135883-0000.flac
english,1235,2,english/1235/english_1235_02.wav,16000,10.0,LibriSpeech/train-clean-100/1235/135883/1235-135883-0001.flac
english,1235,3,english/1235/english_1235_03.wav,16000,10.0,LibriSpeech/train-clean-100/1235/135883/1235-135883-0002.flac | LibriSpeech/train-clean-100/1235/135883/1235-135883-0003.flac
english,1246,1,english/1246/english_1246_01.wav,16000,10.0,LibriSpeech/train-clean-100/1246/124548/1246-124548-0000.flac
english,1246,2,english/1246/english_1246_02.wav,16000,10.0,LibriSpeech/train-clean-100/1246/124548/1246-124548-0001.flac
english,1246,3,english/1246/english_1246_03.wav,16000,10.0,LibriSpeech/train-clean-100/1246/124548/1246-124548-0002.flac
